dérivé,base,procédé,allomorphie?,pred=att?,m=f
nudité,nud-ité,ité,,,
nullité,nul-ité,ité,,,
nuptialité,nuptial-ité,ité,,,
nébulosité,nébul-eux-ité,ité,,,
nécessité,nécess-ité,ité,,,
négativité,négation-if-ité,ité,0,1,0
objectivité,objet-if-ité,ité,0,1,0
obscurité,obscur-ité,ité,,,
obscénité,obscène-ité,ité,,,
obséquiosité,obséquieux-ité,ité,,,
obésité,obèse-ité,ité,,,
onctuosité,onctueux-ité,ité,,,
opacité,opaque-ité,ité,,,
opportunité,opportun-ité,ité,0,1,0
oralité,oral-ité,ité,,,
originalité,origine-al-ité,ité,,,
parité,pair-ité,ité,,,
partialité,parti-al-ité,ité,,,
particularité,particulier-ité,ité,,,
passivité,passif-ité,ité,0,1,0
perfectibilité,perfectible-ité,ité,,,
permissivité,permettre-ion-if-ité,ité,0,1,0
perplexité,perplexe-ité,ité,,,
perpétuité,perpétu-ité,ité,,,
perspicacité,perspicace-ité,ité,,,
perversité,pervers-ité,ité,,,
photosensibilité,photo-sensible-ité,ité,,,
pilosité,pil-eux-ité,ité,,,
placidité,placide-ité,ité,,,
plasticité,plastique,ité,ique~ic,1,1
plausibilité,plausible-ité,ité,,,
pluralité,plural-ité,ité,,,
pluviosité,pluvieux-ité,ité,,,
poire-vérité,poire-vère-ité,ité,,,
polarité,pôlaire,ité,aire~ar,1,1
polytonalité,poly-ton-al-ité,ité,,,
ponctualité,ponctuel,ité,el~al,1,-1
popularité,populaire,ité,aire~ar,1,1
porosité,pore-eux-ité,ité,,,
portabilité,portable,ité,able~abil,1,1
positivité,positif-ité,ité,0,1,0
possessivité,possess-ion-if-ité,ité,0,1,0
possibilité,possible-ité,ité,,,
potentialité,potentiel,ité,el~al,1,-1
probabilité,probable,ité,able~abil,1,1
probité,probe-ité,ité,,,
prodigalité,prodigal-ité,ité,,,
productivité,produire-ion-if-ité,ité,0,1,0
profitabilité,profitable,ité,able~abil,1,1
prolixité,prolixe-ité,ité,,,
promiscuité,promiscue-ité,ité,,,
proportionnalité,proportionnel,ité,el~al,1,-1
prospérité,prospère-ité,ité,,,
proximité,proxim-ité,ité,,,
précarité,précaire,ité,aire~ar,1,1
préciosité,précieux-ité,ité,,,
précocité,précoce-ité,ité,,,
prématurité,prématuré-ité,ité,,,
prévisibilité,pré-visible-ité,ité,,,
pugnacité,pugnace-ité,ité,,,
pusillanimité,pusillanime-ité,ité,,,
puérilité,puéril-ité,ité,,,
pénalité,peine-al-ité,ité,,,
pérennité,pérenne-ité,ité,,,
périodicité,périodique,ité,ique~ic,1,1
quasi-impossibilité,quasi-in-possible-ité,pfx,,,
quasi-impunité,quasi-in-puni-ité,pfx,,,
quasi-nudité,quasi-nud-ité,pfx,,,
quasi-totalité,quasi-total-ité,pfx,,,
quasi-unanimité,quasi-unanime-ité,pfx,,,
quotité,quote-ité,ité,,,
radioactivité,radio-actif-ité,ité,,,
rapacité,rapace-ité,ité,,,
rapidité,rapide-ité,ité,,,
rationalité,rationel,ité,el~al,1,-1
raucité,rauque-ité,ité,,,
recevabilité,recevable,ité,able~abil,1,1
relativité,relation-if-ité,ité,0,1,0
religiosité,religieux-ité,ité,,,
rentabilité,rentable,ité,able~abil,1,1
reportage-vérité,reportage-vère-ité,ité,,,
respectabilité,respectable,ité,able~abil,1,1
responsabilité,responsible,ité,able~abil,1,1
rigidité,rigide-ité,ité,,,
risibilité,risible-ité,ité,,,
rivalité,rival-ité,ité,,,
romanité,romain-ité,ité,,,
