rid,graph_1,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r2565,bistoquet,toquer,Nm,V,pre-suf,biXet,NA,X,motiv-sem,des2as
r2584,biuret,urée,Nm,Nf,pre-suf,biXet,NA,X,motiv-sem,des2as
r2585,biviaire,voie,Adj,Nf,pre-suf,biXaire,NA,X,motiv-sem,des2as
r4741,centromédullaire,moelle,Adj,Nf,pre-suf,centroXaire,NA,X,motiv-sem,des2as
r5483,circompolaire,pôle,Adj,Nm,pre-suf,circomXaire,NA,X,motiv-sem,des2as
r5499,circumlunaire,lune,Adj,Nf,pre-suf,circumXaire,NA,X,motiv-sem,des2as
r5500,circumpolaire,pôle,Adj,Nm,pre-suf,circumXaire,NA,X,motiv-sem,des2as
r5908,colistier,liste,Nm,Nf,pre-suf,coXier,NA,X,motiv-sem,des2as
r6940,coplanaire,plan,Adj,Nm,pre-suf,coXaire,NA,X,motiv-sem,des2as
r6995,coreligionnaire,religion,Nm,Nf,pre-suf,coXaire,NA,X,motiv-sem,des2as
r8299,dimyaire,muscle,Adj,Nm,pre-suf,diXaire,NA,X,motiv-sem,des2as
r12811,exstipulaire,stipule,Adj,Nm,pre-suf,exXaire,NA,X,motiv-sem,des2as
r12852,extra-axillaire,aisselle,Adj,Nf,pre-suf,extraXaire,NA,X,motiv-sem,des2as
r12853,extrabudgétaire,budget,Adj,Nm,pre-suf,extraXaire,NA,X,motiv-sem,des2as
r12854,extracellulaire,cellule,Adj,Nf,pre-suf,extraXaire,NA,X,motiv-sem,des2as
r12861,extranucléaire,noyau,Adj,Nm,pre-suf,extraXaire,NA,X,motiv-sem,des2as
r12863,extraparlementaire,parlement,Adj,Nm,pre-suf,extraXaire,NA,X,motiv-sem,des2as
r16357,hypocotylédonaire,cotylédon,Adj,Nm,pre-suf,hypoXaire,NA,X,motiv-sem,des2as
r16940,infralapsaire,chute,Adj,Nf,pre-suf,infraXaire,NA,X,motiv-sem,des2as
r16941,infralapsaire,chute,Nm,Nf,pre-suf,infraXaire,NA,X,motiv-sem,des2as
r17004,inoculaire,œil,Adj,Nm,pre-suf,inXaire,NA,X,motiv-sem,des2as
r17176,interclaviculaire,clavicule,Adj,Nf,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17180,interdentaire,dent,Adj,Nf,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17190,interfibrillaire,fibrille,Adj,Nf,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17205,interlobaire,lobe,Adj,Nm,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17212,interlunaire,lune,Adj,Nf,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17215,intermoléculaire,molécule,Adj,Nf,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17231,internucléaire,noyau,Adj,Nm,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17234,interoculaire,œil,Adj,Nm,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17241,interpolaire,pôle,Adj,Nm,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17281,interscapulaire,omoplate,Adj,Nf,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17284,interutriculaire,utricule,Adj,Nm,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17287,intervalvaire,valve,Adj,Nf,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17302,intra-oculaire,œil,Adj,Nm,pre-suf,intraXaire,NA,X,motiv-sem,des2as
r17303,intracellulaire,cellule,Adj,Nf,pre-suf,intraXaire,NA,X,motiv-sem,des2as
r17304,intracommunautaire,communauté,Adj,Nf,pre-suf,intraXaire,NA,X,motiv-sem,des2as
r17305,intramoléculaire,molécule,Adj,Nf,pre-suf,intraXaire,NA,X,motiv-sem,des2as
r17306,intramédullaire,moelle,Adj,Nf,pre-suf,intraXaire,NA,X,motiv-sem,des2as
r17307,intraoculaire,œil,Adj,Nm,pre-suf,intraXaire,NA,X,motiv-sem,des2as
r17308,intrapilaire,pile,Adj,Nf,pre-suf,intraXaire,NA,X,motiv-sem,des2as
r17310,intrastellaire,étoile,Adj,Nf,pre-suf,intraXaire,NA,X,motiv-sem,des2as
r17341,intérantennaire,antenne,Adj,Nf,pre-suf,interXaire,NA,X,motiv-sem,des2as
r17810,juxtalinéaire,ligne,Adj,Nf,pre-suf,juxtaXaire,NA,X,motiv-sem,des2as
r19302,matrilinéaire,ligne,Adj,Nf,pre-suf,matriXaire,NA,X,motiv-sem,des2as
r19855,monocotylaire,ventouse,Adj,Nf,pre-suf,monoXaire,NA,X,motiv-sem,des2as
r19858,monoculaire,œil,Adj,Nm,pre-suf,monoXaire,NA,X,motiv-sem,des2as
r19871,monomyaire,muscle,Adj,Nm,pre-suf,monoXaire,NA,X,motiv-sem,des2as
r19875,mononucléaire,noyau,Nm,Nm,pre-suf,monoXaire,NA,X,motiv-sem,des2as
r20150,multiloculaire,loge,Adj,Nf,pre-suf,multiXaire,NA,X,motiv-sem,des2as
r20160,multitubulaire,tube,Adj,Nm,pre-suf,multiXaire,NA,X,motiv-sem,des2as
r20609,naso-sourcilier,sourcil,Adj,Nm,pre-suf,nasoXier,NA,X,motiv-sem,des2as
r21297,omnipolaire,pôle,Adj,Nm,pre-suf,omniXaire,NA,X,motiv-sem,des2as
r21528,orthomoléculaire,moléculaire,Adj,Adj,pre-suf,orthoXaire,NA,X,motiv-sem,des2as
r22332,patrilinéaire,ligne,Adj,Nf,pre-suf,patriXaire,NA,X,motiv-sem,des2as
r23470,pluricellulaire,cellule,Nm,Nf,pre-suf,pluriXaire,NA,X,motiv-sem,des2as
r23471,pluriloculaire,loge,Adj,Nf,pre-suf,pluriXaire,NA,X,motiv-sem,des2as
r23472,pluriséculaire,siècle,Adj,Nm,pre-suf,pluriXaire,NA,X,motiv-sem,des2as
r23522,podophtalmaire,œil,Adj,Nm,pre-suf,podoXaire,NA,X,motiv-sem,des2as
r23650,polyarticulaire,articulation,Adj,Nf,pre-suf,polyXaire,NA,X,motiv-sem,des2as
r23682,polynucléaire,noyau,Nm,Nm,pre-suf,polyXaire,NA,X,motiv-sem,des2as
r23872,postalvéolaire,alvéole,Adj,Nf,pre-suf,postXaire,NA,X,motiv-sem,des2as
r23874,postconciliaire,concile,Adj,Nm,pre-suf,postXaire,NA,X,motiv-sem,des2as
r23880,postglaciaire,glaciation,Adj,Nf,pre-suf,postXaire,NA,X,motiv-sem,des2as
r23895,postnucléaire,noyau,Adj,Nm,pre-suf,postXaire,NA,X,motiv-sem,des2as
r23899,postrévolutionnaire,révolution,Adj,Nf,pre-suf,postXaire,NA,X,motiv-sem,des2as
r23900,postscolaire,école,Adj,Nf,pre-suf,postXaire,NA,X,motiv-sem,des2as
r24364,pronétaire,internet,Nf,Nm,pre-suf,proXaire,NA,X,motiv-sem,des2as
r24477,proto-médicat,proto-médecin,Nm,Nm,pre-suf,protoXicat,NA,X,simple,des2as
r24675,préglaciaire,glaciation,Adj,Nf,pre-suf,préXaire,NA,X,motiv-sem,des2as
r24687,préliminaire,seuil,Adj,Nm,pre-suf,préXaire,NA,X,motiv-sem,des2as
r24688,préliminaire,seuil,Nm,Nm,pre-suf,préXaire,NA,X,motiv-sem,des2as
r25155,péripolaire,pôle,Adj,Nm,pre-suf,périXaire,NA,X,motiv-sem,des2as
r25161,périvasculaire,vaisseau,Adj,Nm,pre-suf,périXaire,NA,X,motiv-sem,des2as
r25242,quadrangulaire,angle,Adj,Nm,pre-suf,quadriXaire,NA,X,motiv-sem,des2as
r25243,quadrangulaire,angle,Nf,Nm,pre-suf,quadriXaire,NA,X,motiv-sem,des2as
r25254,quadriloculaire,loge,Adj,Nf,pre-suf,quadriXaire,NA,X,motiv-sem,des2as
r25258,quadripolaire,pôle,Adj,Nm,pre-suf,quadriXaire,NA,X,motiv-sem,des2as
r25285,quartanier,année,Nm,Nf,pre-suf,quartXier,NA,X,motiv-sem,des2as
r25344,quinquangulaire,angle,Adj,Nm,pre-suf,quinquXaire,NA,X,motiv-sem,des2as
r28886,sexdigitaire,doigt,Adj,Nm,pre-suf,sexXaire,NA,X,motiv-sem,des2as
r29436,sous-marin,mer,Adj,Nm,pre-suf,sousXin,NA,X,motiv-sem,des2as
r29437,sous-mentonnière,menton,Nf,Nm,pre-suf,sousXière,NA,X,motiv-sem,des2as
r29441,sous-orbitaire,orbite,Adj,Nf,pre-suf,sousXaire,NA,X,motiv-sem,des2as
r29445,sous-scapulaire,omoplate,Adj,Nf,pre-suf,sousXaire,NA,X,motiv-sem,des2as
r29797,subaciculaire,cellule,Adj,Nf,pre-suf,subXaire,NA,X,motiv-sem,des2as
r29798,subalaire,aile,Adj,Nf,pre-suf,subXaire,NA,X,motiv-sem,des2as
r29802,subapiculaire,sommet,Adj,Nm,pre-suf,subXaire,NA,X,motiv-sem,des2as
r29819,subliminaire,seuil,Adj,Nm,pre-suf,subXaire,NA,X,motiv-sem,des2as
r29824,suboculaire,œil,Adj,Nm,pre-suf,subXaire,NA,X,motiv-sem,des2as
r29952,superaxillaire,aisselle,Adj,Nf,pre-suf,superXaire,NA,X,motiv-sem,des2as
r30021,supralapsaire,chute,Adj,Nf,pre-suf,supraXaire,NA,X,motiv-sem,des2as
r30022,supralapsaire,chute,Nm,Nf,pre-suf,supraXaire,NA,X,motiv-sem,des2as
r30023,supraliminaire,seuil,Adj,Nm,pre-suf,supraXaire,NA,X,motiv-sem,des2as
r31596,transfrontalier,frontière,Adj,Nf,pre-suf,transXalier,NA,X,motiv-sem,des2as
r31652,transpolaire,pôle,Adj,Nm,pre-suf,transXaire,NA,X,motiv-sem,des2as
r31805,tricapsulaire,capsule,Adj,Nf,pre-suf,triXaire,NA,X,motiv-sem,des2as
r31816,trichobézoaire,bézoard,Nm,Nm,pre-suf,trichoXaire,NA,X,motiv-sem,des2as
