rid,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r28731,sectariat,l331892,sectaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r28745,seigneurat,l332012,seigneur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28746,seigneuriat,l332012,seigneur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r28747,seignorat,l332012,seigneur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28748,seignorat,l332012,seigneur,Nm,Nm,suf,Xorat, NA,X,simple,des2as
r28757,semainat,l332192,semaine,Nm,Nf,suf,Xat,NA,X,simple,des2as
r28762,semanat,l332192,semaine,Nm,Nf,suf,Xat,NA,X,simple,des2as
r28765,semestrat,l332238,semestre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28766,semestriat,l332238,semestre,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r28772,semi-prolétariat,l383228,semi-prolétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28795,septemvirat,l332872,septemvir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28800,septuagénariat,l332948,septuagénaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28871,servitorat,l333494,serviteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28885,sexagénariat,l333681,sexagénaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28892,sexvirat,l333797,sexvir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28913,shogounat,l334117,shogoun,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28914,shogunat,l334120,shogun,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28920,shérifariat,l334186,shérif,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r28921,shérifat,l334186,shérif,Nm,Nm,suf,Xat,NA,X,simple,des2as
r28928,sicariat,l334276,sicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29054,sirdariat,l335305,sirdar,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29096,smicariat,l335811,smicard,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29106,snobinat,l335890,snob,Nm,Nm,suf,Xinat,NA,X,simple,des2as
r29131,sociétariat,l336097,sociétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29132,sociétorat,l336097,sociétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29180,solitariat,l336532,solitaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29290,sororat,l345995,sœur,Nm,Nf,suf,Xat,NA,X,simple,des2as
r29312,soudanat,l337514,soudan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29424,sous-bibliothécariat,l338155,sous-bibliothécaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29426,sous-chefat,l338189,sous-chef,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29427,sous-cheffariat,l338189,sous-chef,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r29428,sous-chefiat,l338189,sous-chef,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r29430,sous-commissariat,l338215,sous-commissaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29431,sous-diaconat,l338241,sous-diacre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29433,sous-directorat,l338247,sous-directeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29434,sous-fifrat,l338307,sous-fifre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29438,sous-ministariat,l338385,sous-ministre,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r29439,sous-ministérat,l338385,sous-ministre,Nm,Nm,suf,Xat,NA,X,motiv-sem,des2as
r29440,sous-ministériat,l338385,sous-ministre,Nm,Nm,suf,Xiat,NA,X,complexe,des2as
r29443,sous-priorat,l338442,sous-prieur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29444,sous-prolétariat,l296104,prolétariat,Nm,Nm,pre,sousX,NA,X,simple,des2as
r29446,sous-secrétariat,l338492,sous-secrétaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29482,spadassinat,l338855,spadassin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29500,speakerinat,l339045,speakerine,Nm,Nf,suf,Xat,NA,X,simple,des2as
r29506,spectateurat,l339057,spectateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29507,spectatorat,l339057,spectateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29508,spectatoriat,l339057,spectateur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r29559,sponsonariat,l339587,sponsor,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r29560,sponsonnariat,l339587,sponsor,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r29561,sponsorat,l339587,sponsor,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29563,sponsoriat,l339587,sponsor,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r29597,squat,l339841,squatter,Nm,V,conv,X,conv,X,simple,NA
r29617,stagiairiat,l339986,stagiaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29618,stagiarat,l339986,stagiaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29619,stagiariat,l339986,stagiaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29632,starlettariat,l340189,starlette,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r29635,starostat,l340195,staroste,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29637,stathoudariat,l340218,stathouder,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r29638,stathouderat,l340218,stathouder,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29639,stathoudérat,l340218,stathouder,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29647,statthalterat,l340265,statthalter,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29648,statthaltérat,l340265,statthalter,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29658,stellionat,l188089,escroc,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29716,stratégat,l340855,stratège,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29799,subalternariat,l341487,subalterne,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r29800,subalternat,l341487,subalterne,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29803,subdiaconat,l338241,sous-diacre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29872,successorat,l341876,successeur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29875,succubat,l341909,succube,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29898,suffraganat,l342131,suffragant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29899,suffraganéat,l342131,suffragant,Nm,Nm,suf,Xéat,NA,X,simple,des2as
r29900,suffétat,l342141,suffète,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29948,sultanat,l342414,sultan,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29960,supermentorat,l383262,super-menteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29996,supportanat,l342777,supporter,Nm,Nm,suf,Xanat,NA,X,simple,des2as
r29997,supportarat,l342777,supporter,Nm,Nm,suf,Xat,NA,X,simple,des2as
r29998,supportariat,l342777,supporter,Nm,Nm,suf,Xat,NA,X,simple,des2as
