lid,graphie,cat,Annotations ontologiques
l155018,collevillais,Nm,Person
l155019,collevillaise,Nf,Person
l155029,collier,Nm,Artifact;Body;Food
l155044,colline,Nf,Object
l155098,colloque,Nm,Act
l155115,colloïde,Nm,Substance
l155121,collusion,Nf,Act
l155125,colluvion,Nf,Substance
l155134,collège,Nm,Institution
l155135,collègue,Nf,Person
l155191,colocataire,Nm,Person
l155252,colombiculture,Nf,Act
l155296,colombophilie,Nf,Cognition
l155322,colon,Nm,Person
l155335,colonel,Nm,Animal;Food;Person
l155345,colonialisme,Nm,Cognition
l155347,colonialiste,Nf,Person
l155348,colonialiste,Nm,Person
l155351,colonie,Nf,GroupxAnimal;Institution
l155356,colonisation,Nf,Act+State
l155372,colonne,Nf,Artifact;Body;PartxArtifact
l155379,colophane,Nf,Plant;Substance
l155419,colorimétrie,Nf,Act;Cognition
l155422,coloris,Nm,Attribute
l155426,coloriste,Nf,Person
l155438,colosse,Nm,Animal;Artifact;Person
l155446,colostrum,Nm,Substance
l155463,colporteur,Nm,Person
l155465,colposcope,Nm,Artifact
l155466,colposcopie,Nf,Act
l155481,colt,Nm,Artifact
l155483,coltainvillois,Nm,Person
l155484,coltainvilloise,Nf,Person
l155511,columbiculture,Nf,Act
l155535,colzatier,Nm,Person
l155538,colère,Nf,State
l155587,combat,Nm,Act
l155594,combativité,Nf,Attribute
l155597,combattant,Nm,Animal;Person
l155604,combe,Nf,Object
l155621,combi,Nf,Artifact
l155627,combinaison,Nf,Act;Artifact;Group
l155649,combisme,Nm,Cognition
l155663,comble,Nm,Artifact;Cognition;Event;Tops
l155758,combs-la-villais,Nm,Person
l155759,combs-la-villaise,Nf,Person
l155761,combslavillais,Nm,Person
l155762,combslavillaise,Nf,Person
l155771,combustible,Nm,Substance
l155781,comestible,Nm,Food
l155786,comice,Nm,Act;Cognition;GroupxPerson
l155790,comics,Nm,Artifact+Cognition
l155800,comique,Nf,Person
l155810,comitologie,Nf,Act
l155812,comité,Nm,Act;Institution
l155813,comma,Nm,Animal;Quantity
l155818,commandant,Nm,Person
l155827,commandeur,Nm,Animal;Person
l155829,commanditaire,Nm,Person
l155864,commendataire,Nm,Person
l155886,commentaire,Nm,Act+Cognition;Artifact+Cognition
l155888,commentateur,Nm,Person
l155905,commerce,Nm,Act;Institution
l155909,commercial,Nm,Person
l155912,commercialisation,Nf,Act
l155928,commerçant,Nm,Person
l155929,commerçante,Nf,Person
l155943,commis,Nm,Person
l155948,commissaire,Nf,Person
l155949,commissaire,Nm,Person
l155952,commissariat,Nm,Institution
l155955,commission,Nf,Act;Artifact;Institution;Possession;Substance
l155958,commissionnaire,Nm,Person
l155968,commissure,Nf,Artifact;Body
l155987,commodataire,Nm,Person
l155989,commode,Nf,Artifact
l155990,commodité,Nf,Attribute;Artifact
l155994,commodore,Nm,Person
l156012,communal,Nm,Artifact
l156035,communautier,Nm,Person
l156037,communauté,Nf,Institution
l156041,commune,Nf,Artifact;Institution
l156057,communication,Nf,Act+Cognition;Cognition
l156062,communier,Nm,Person
l156064,communion,Nf,Act;Feeling;State
l156076,communiste,Nf,Person
l156077,communiste,Nm,Person
l156118,compact,Nm,Act+Cognition
l156131,compagne,Nf,Person
l156133,compagnie,Nf,Cognition;GroupxPerson;Institution
l156136,compagnon,Nm,Animal;Person
l156147,compainvillais,Nm,Person
l156148,compainvillaise,Nf,Person
l156157,comparaison,Nf,Act+Cognition;Communication
l156163,comparateur,Nm,Artifact
l156175,compartiment,Nm,PartxArtifact;Part
l156184,compas,Nm,Artifact;Body
l156194,compassier,Nm,Person
l156195,compassion,Nf,Feeling
l156201,compatibilité,Nf,Attribute
l156208,compatriote,Nf,Person
l156221,compensation,Nf,Act;Act+Possession;Event
l156255,complainte,Nf,Act
l156278,complexe,Nm,Artifact;Feeling;Object;Quantity
l156300,complication,Nf,Act;Event
l156303,complice,Nm,Person
l156304,complicité,Nf,Attribute;State
l156318,complot,Nm,Act+Cognition
l156337,complémentarité,Nf,Attribute
l156369,comportement,Nm,Attribute
l156383,composant,Nm,Substance;Part
l156384,composante,Nf,Institution;Part
l156395,composition,Nf,Act;Artifact;Attribute;Cognition;Communication
l156408,composteur,Nm,Artifact
l156417,composée,Nf,Plant;Quantity
l156420,compote,Nf,Food
l156431,compradore,Nm,Person
l156461,comprimé,Nm,Substance
l156467,compromis,Nm,Act+Cognition
l156483,compréhension,Nf,Act;Attribute
l156503,comptabilité,Nf,Act;Cognition
l156510,comptant,Nm,Possession;Quantity
l156511,compte,Nm,Act;Cognition;Possession;Artifact
l156514,compte-fils,Nm,Artifact
l156516,compte-gouttes,Nm,Artifact
l156520,compte-rendu,Nm,Act+Cognition;Artifact+Cognition
l156522,compte-tours,Nm,Artifact
l156530,comptoir,Nm,Artifact;Institution
l156546,comput,Nm,Act;Artifact+Cognition
l156550,computer,Nm,Artifact
l156554,computiste,Nm,Person
l156566,compétence,Nf,Attribute
l156572,compétiteur,Nm,Animal;Plant;Person;Plant
l156574,compétition,Nf,Act
l156578,compétitrice,Nf,Person
l156587,comte,Nm,Person
l156601,comtophone,Nf,Person
l156602,comtophone,Nm,Person
l156603,comtor,Nm,Person
l156606,comté,Nm,Artifact;Food
l156613,comète,Nf,Object
l156619,comédien,Nm,Person
l156694,concentration,Nf,Act;Attribute;Quantity;State
l156706,concentré,Nm,Food;Substance
l156708,concept,Nm,Cognition
l156717,conception,Nf,Act;Cognition
l156747,concertiste,Nf,Person
l156757,concessionnaire,Nm,Person
l156800,conchoïde,Nf,Artifact
l156805,conchyliculture,Nf,Act
l156811,conchyliologie,Nf,Act;Cognition
l156829,concierge,Nm,Person
l156835,concile,Nm,Act;Institution
l156839,conciliabule,Nm,Act+Cognition
l156861,conclave,Nm,Institution
l156870,conclusion,Nf,Act+Cognition;Artifact+Cognition;Part
l156876,concombre,Nm,Food;Plant
l156877,concombreraie,Nf,GroupxPlant
l156890,concordat,Nm,Act+Cognition
l156918,concours,Nm,Act
l156944,concubin,Nm,Person
l156945,concubinage,Nm,State
l156947,concubinaire,Nm,Person
l156962,concurrence,Nf,State
l156967,concurrent,Nm,Entity
l156979,concussionnaire,Nm,Person
l157005,condamnation,Nf,Act+Cognition
l157010,condamné,Nm,Person
l157024,condensation,Nf,Event
l157030,condescendance,Nf,Attribute
l157053,condiment,Nm,Food
l157060,condisciple,Nf,Person
l157063,condition,Nf,Cognition;Communication
l157068,conditionnement,Nm,Act;Artifact
l157088,condominium,Nm,Artifact
l157094,condor,Nm,Animal
l157123,conducteur,Nm,Artifact;Person
l157137,conduite,Nf,Act;Artifact;Attribute
l157154,condé,Nm,Food;Person
l157156,condécourtois,Nm,Person
l157157,condécourtoise,Nf,Person
l157176,confectionneur,Nf,Person
l157190,confesseur,Nm,Person
l157191,confession,Nf,Act+Cognition;Artifact+Cognition
l157211,confidence,Nf,Act+Cognition
l157212,confident,Nm,Artifact;Person
l157213,confidente,Nf,Person
l157216,confidentialité,Nf,Attribute;State
l157254,confiscation,Nf,Act
l157257,confiserie,Nf,Act;Food;Institution
l157263,confit,Nm,Food
l157266,confiture,Nf,Food
l157272,confiturier,Nm,Artifact;Person
l157300,conflit,Nm,Act;Event
l157307,confluent,Nm,Object
l157331,conformiste,Nf,Person
l157333,conformité,Nf,Attribute
l157336,confort,Nm,GroupxArtifact;State
l157347,confracourtois,Nm,Person
l157348,confracourtoise,Nf,Person
l157361,confrère,Nm,Person
l157363,confrérie,Nf,Institution
l157377,confusion,Nf,Event+State;Feeling
l157398,confédération,Nf,Institution
l157402,confédéré,Nm,Person
l157405,conférence,Nf,Act+Cognition
l157408,conférencier,Nm,Artifact;Person
l157429,congervillois,Nm,Person
l157430,congervilloise,Nf,Person
l157433,congestion,Nf,Event+State
l157449,conglomérat,Nm,Institution;Substance
l157488,congre,Nm,Animal
l157531,congé,Nm,Event;State
l157584,conillier,Nm,Person
l157608,conjecture,Nf,Cognition
l157614,conjoint,Nm,Person
l157621,conjonction,Nf,Act;Communication;Event
l157624,conjonctive,Nf,Body
l157628,conjoncture,Nf,Cognition
l157661,conjurée,Nf,Person
l157681,connaissance,Nf,Cognition;Person
l157701,connard,Nm,Person
l157715,conne,Nf,Person
l157716,conneau,Nm,Person
l157758,connexion,Nf,Act
l157801,connétable,Nm,Person
l157814,conoïde,Nm,Artifact
l157820,conque,Nf,Animal;Body
l157832,conquistador,Nm,Person
l157843,conquête,Nf,Act;Artifact;Person
l157863,conscience,Nf,Cognition;Feeling;State
l157874,conscription,Nf,Act
l157879,conscrit,Nm,Person
l157883,conseil,Nm,Cognition;Institution;Event
l157889,conseiller,Nm,Person
l157899,consensus,Nm,Cognition;Event
l157901,consentement,Nm,Act+Cognition
l157907,conservateur,Nm,Person;Substance
l157910,conservation,Nf,Act;State
l157914,conservatisme,Nm,Attribute;Cognition
l157932,considération,Nf,Attribute;Cognition
l157950,consistoire,Nm,Act;GroupxPerson
l157954,conso,Nf,Food
l157967,console,Nf,Artifact
l157975,consolidation,Nf,Act
l157981,consolier,Nm,Person
l157991,consommateur,Nm,Person
l157993,consommation,Nf,Act;Food
l157995,consommatrice,Nf,Person
l158022,consort,Nm,Person
l158024,consortium,Nm,Act;GroupxPerson
l158038,conspirationniste,Nm,Person
l158047,constance,Nf,Attribute
l158050,constante,Nf,Quantity
l158065,constat,Nm,Act+Cognition;Artifact+Cognition
l158068,constatation,Nf,Act+Cognition
l158073,constellation,Nf,Group;GroupxObject
l158078,consternation,Nf,State
l158097,constitution,Nf,Act;Cognition;State
l158120,constriction,Nf,Act
l158130,construction,Nf,Act;Artifact
l158155,consul,Nm,Person
l158158,consulaire,Nm,Person
l158164,consulor,Nm,Person
l158171,consultant,Nm,Person
l158175,consultation,Nf,Act
l158196,consuétudinaire,Nm,Person
l158207,conséquence,Nf,Event;Cognition;State
l158215,contact,Nm,Act;Person
l158225,contagion,Nf,Event
l158234,contagiophobie,Nf,State
l158237,container,Nm,Artifact
l158252,contamination,Nf,Event+State
l158262,conte,Nm,Communication
l158270,contemplation,Nf,Act;State
l158289,contenance,Nf,Attribute;Quantity
l158291,contenant,Nm,Artifact
l158301,contentement,Nm,Feeling
l158311,contenu,Nm,Cognition;Concrete_entity
l158323,contestataire,Nm,Person
l158330,conteste,Nf,Act+Cognition
l158339,conteur,Nm,Person
l158345,contevillais,Nm,Person
l158346,contevillaise,Nf,Person
l158348,contevillois,Nm,Person
l158349,contevilloise,Nf,Person
l158350,contexte,Nm,Cognition
l158373,continence,Nf,State
l158375,continent,Nm,Object
l158396,continuation,Nf,Act;Event
l158406,continuum,Nm,Group
l158427,contorsionniste,Nf,Person
l158430,contour,Nm,Part
l158446,contraceptif,Nm,Artifact;Substance
l158460,contraction,Nf,Act;Communication;Event;State
l158468,contracture,Nf,Event+State
l158476,contradiction,Nf,Act+Cognition
l158490,contrainte,Nf,Act;Phenomenon;State
l158536,contrat,Nm,Act+Cognition;Artifact+Cognition
l158570,contre-attaque,Nf,Act
l158597,contre-calque,Nm,Act+Artifact
l158624,contre-courant,Nm,Cognition;Object
l158648,contre-enquête,Nf,Act
l158723,contre-jour,Nm,Act;Artifact
l158725,contre-la-montre,Nm,Act
l158935,contrebande,Nf,Act;Artifact
l158938,contrebandier,Nm,Person
l158940,contrebas,Nm,Part
l158955,contrecarre,Nm,Act
l158977,contredanse,Nf,Act;Act+Possession
l158982,contredit,Nm,Act+Cognition
l158993,contrefaçon,Nf,Act;Artifact
l159022,contremaître,Nm,Person
l159035,contrepartie,Nf,Tops
l159051,contrepoids,Nm,Artifact;Cognition
l159052,contrepoint,Nm,Tops
l159059,contrepoison,Nm,Substance
l159092,contresignataire,Nm,Person
l159118,contrevenant,Nm,Person
l159121,contrevent,Nm,Artifact
l159131,contrexévillois,Nm,Person
l159132,contrexévilloise,Nf,Person
l159134,contribuable,Nf,Person
l159140,contributaire,Nm,Person
l159142,contributeur,Nm,Person
l159146,contribution,Nf,Act+Possession;Artifact
l159183,controverse,Nf,Act+Cognition
l159204,contrôle,Nm,Act;Artifact+Cognition
l159209,contrôleur,Nm,Artifact;Person
l159239,convaincu,Nm,Person
l159261,convent,Nm,Institution
l159263,convention,Nf,Act+Cognition;Institution
l159273,conventionnel,Nm,Person
l159291,conversation,Nf,Act+Cognition
l159303,converse,Nf,Act+Cognition;Cognition
l159338,conviction,Nf,Attribute;Cognition
l159344,convive,Nf,Person
l159345,convive,Nm,Person
l159353,convivialité,Nf,Attribute
l159361,convocation,Nf,Act;Artifact+Cognition
l159363,convoi,Nm,GroupxArtifact
l159391,convoyeur,Nm,Artifact;Person
l159398,convulsion,Nf,Event+State
l159401,convulsionnaire,Nm,Person
l159457,coopération,Nf,Act
l159474,coordination,Nf,Act;Attribute;Event;State
l159491,copain,Nm,Person
l159493,copal,Nm,Substance
l159555,copie,Nf,Act;Artifact+Cognition
l159562,copieur,Nm,Artifact;Person
l159574,copine,Nf,Person
l159585,copiste,Nf,Person
l159639,coprologie,Nf,Act;Cognition
l159644,coprophage,Nm,Animal
l159645,coprophagie,Nf,Act
l159648,coprophile,Nf,Person
l159649,coprophile,Nm,Person
l159715,coquainvillais,Nm,Person
l159716,coquainvillaise,Nf,Person
l159726,coque,Nf,Artifact;Animal;Food;Plant;Substance
l159738,coquelicot,Nm,Plant
l159739,coquelicoteraie,Nf,GroupxPlant
l159773,coquet,Nm,Person
l159777,coquetier,Nm,Artifact;Person
l159780,coquetterie,Nf,Attribute
l159792,coquille,Nf,Act;Artifact;Body;Food;Plant
l159802,coquillier,Nm,Artifact;Person
l159808,coquin,Nm,Person
l159813,coquinet,Nm,Person
l159833,cor,Nm,Artifact;State;Body;State
l159885,coran,Nm,Artifact+Cognition
l159920,corbeau,Nm,Animal;Person
l159943,corbeille,Nf,Artifact
l159992,corbillard,Nm,Artifact
l160080,corde,Nf,Act;Artifact;Body;Substance
l160081,cordeau,Nm,Artifact
l160089,cordelette,Nf,Artifact
l160109,cordial,Nm,Food;Substance
l160113,cordialité,Nf,Attribute
l160118,cordier,Nm,Artifact;Person
l160147,cordon,Nm,Artifact;Group;Body;Group
l160148,cordon-bleu,Nm,Animal;Food;Person
l160159,cordonnière,Nf,Person
l160278,cormainvillois,Nm,Person
l160279,cormainvilloise,Nf,Person
l160301,cormeraie,Nf,GroupxPlant
l160312,cormier,Nm,Plant
l160354,cornac,Nm,Person
l160375,cornard,Nm,Artifact;Person
l160384,corne,Nf,Artifact;Body
l160404,corneille,Nf,Animal
l160414,cornemuse,Nf,Artifact
l160421,corner,Nm,Act
l160423,corneraie,Nf,GroupxPlant
l160425,cornet,Nm,Animal;Artifact;Body;Food
l160427,cornetier,Nm,Person
l160428,cornette,Nf,Animal;Artifact;Plant
l160439,cornevillais,Nm,Person
l160440,cornevillaise,Nf,Person
l160445,corniaud,Nm,Animal;Person
l160449,corniche,Nf,Artifact;Object
l160450,cornichon,Nm,Food;Person;Plant
l160461,cornier,Nm,Plant
l160505,corniste,Nf,Person
l160508,cornière,Nf,Artifact
l160523,cornouillaie,Nf,GroupxPlant
l160525,cornouiller,Nm,Plant
l160527,cornouilleraie,Nf,GroupxPlant
l160625,coronographe,Nm,Artifact
l160626,coronographie,Nf,Act
l160681,corpothérapeute,Nf,Person
l160682,corpothérapeute,Nm,Person
l160685,corps,Nm,Attribute;Body;Group;Institution;Part
l160697,corpuscule,Nm,Object
l160719,correcteur,Nm,Artifact;Substance;Person
l160730,correctionnelle,Nf,Institution
l160739,corregidor,Nm,Person
l160748,correspondance,Nf,Act+Cognition;Artifact+Cognition
l160752,correspondant,Nm,Person
l160813,corroyer,Nm,Person
l160830,corruption,Nf,Act;Event;State
l160842,corrégidor,Nm,Person
l160851,corrélation,Nf,Act;Quantity
l160865,corsage,Nm,Artifact;Body
l160870,corsaire,Nm,Artifact;Person
l160878,corse,Nm,Animal;Communication;Person
l160888,corset,Nm,Artifact
l160894,corsetier,Nm,Person
l160915,corso,Nm,Act;Artifact
l160916,corsophobie,Nf,State
l160936,cortex,Nm,Body
l160952,corticoïde,Nm,Substance
l160975,cortisone,Nf,Substance
l160980,corton,Nm,Food;Person
l160984,cortège,Nm,Group
l161021,corybante,Nm,Person
l161107,coseigneur,Nm,Person
l161115,cosignataire,Nm,Person
l161137,cosmobiologie,Nf,Act;Cognition
l161139,cosmochimie,Nf,Act;Cognition
l161147,cosmogonie,Nf,Cognition
l161151,cosmographe,Nm,Person
l161152,cosmographie,Nf,Act;Cognition
l161155,cosmogénèse,Nf,Event
l161158,cosmologie,Nf,Act;Cognition
l161160,cosmologiste,Nf,Person
l161162,cosmologue,Nf,Person
l161163,cosmologue,Nm,Person
l161165,cosmonaute,Nf,Person
l161166,cosmonaute,Nm,Person
l161174,cosmopole,Nf,GroupxPerson
l161181,cosmopolite,Nf,Person
l161186,cosmopolitisme,Nm,Cognition
l161190,cosmos,Nm,Object;Plant
l161206,cosmétique,Nm,Substance
l161208,cosmétologie,Nf,Act;Cognition
l161212,cosmétologue,Nf,Person
l161232,cosquevillais,Nm,Person
l161233,cosquevillaise,Nf,Person
l161248,cossessevillais,Nm,Person
l161249,cossessevillaise,Nf,Person
l161339,costumier,Nm,Person
l161416,cotillon,Nm,Artifact
l161427,cotisation,Nf,Act+Possession;Artifact
l161442,coton-tige,Nm,Artifact
l161446,cotoneastraie,Nf,GroupxPlant
l161451,cotonnaie,Nf,GroupxPlant
l161454,cotonneraie,Nf,GroupxPlant
l161459,cotonnier,Nm,Person;Plant
l161467,cotonéaster,Nm,Plant
l161474,cotre,Nm,Artifact
l161540,cou,Nm,Body
l161548,couac,Nm,Act
l161596,couchage,Nm,Act;Artifact
l161600,couche,Nf,Artifact;Substance
l161621,couchette,Nf,Artifact
l161624,coucheur,Nm,Person
l161650,coucou,Nm,Act;Animal;Artifact;Plant
l161706,coudevillais,Nm,Person
l161707,coudevillaise,Nf,Person
l161727,coudraie,Nf,GroupxPlant
l161743,coudre,Nm,Substance
l161756,coudreraie,Nf,GroupxPlant
l161762,coudrier,Nm,Plant
l161773,coudrée,Nf,GroupxPlant
l161804,couffin,Nm,Artifact
l161854,couillon,Nm,Body;Person
l161869,couinement,Nm,Act
l161884,coulage,Nm,Act
l161910,coule,Nf,Artifact
l161919,couleur,Nf,Attribute;Substance;Phenomenon
l161923,couleuvre,Nf,Act;Animal
l161929,couleuvrinier,Nm,Person
l161951,coulisse,Nf,Artifact
l161955,coulissier,Nm,Person
l161970,couloir,Nm,Artifact;Object
l162008,coulonvillerois,Nm,Person
l162009,coulonvilleroise,Nf,Person
l162023,coulrophobie,Nf,State
l162037,coulée,Nf,Event+Object;Object
l162068,coup,Nm,Act;Cognition;Event+Phenomenon;Quantity
l162072,coupable,Nf,Person
l162073,coupable,Nm,Person
l162081,coupe,Nf,Act;Artifact;Part;State
l162101,coupe-gorge,Nm,Artifact
l162130,coupelle,Nf,Artifact
l162139,couperet,Nm,Artifact;Event
l162140,couperose,Nf,State
l162149,coupeur,Nm,Person
l162164,coupinet,Nm,Person
l162170,couple,Nf,Group;GroupxPerson;Phenomenon
l162171,couple,Nm,Group;GroupxAnimal;GroupxPerson;Quantity
l162174,couplet,Nm,PartxCommunication
l162178,coupletier,Nm,Person
l162185,coupole,Nf,Act;Artifact
l162187,coupon,Nm,Artifact
l162200,coupure,Nf,Act;Event;Object;Part
l162212,cour,Nf,Act;Artifact;Institution
l162218,courage,Nm,Attribute
l162276,courbature,Nf,Event+State
l162288,courbette,Nf,Act
l162437,courge,Nf,Food;Person;Plant
l162452,courgeraie,Nf,GroupxPlant
l162558,couronnement,Nm,Act;Event
l162604,courrier,Nm,Artifact+Cognition;Person
l162623,courroux,Nm,Attribute
l162627,cours,Nm,Artifact;Artifact+Cognition;Cognition;Object;Phenomenon;Time
l162638,course,Nf,Act;Artifact;Event
l162663,coursier,Nm,Animal;Person
l162683,court-bouillon,Nm,Act;Food
l162686,court-circuit,Nm,Event
l162714,courtage,Nm,Act;Possession
l162794,courtier,Nm,Person
l162807,courtine,Nf,Artifact
l162813,courtisan,Nm,Person
l162816,courtisanerie,Nf,Act+Cognition
l162837,courtois,Nm,Person
l162838,courtoise,Nf,Person
l162878,courvillien,Nm,Person
l162879,courvillienne,Nf,Person
l162881,courvillois,Nm,Person
l162882,courvilloise,Nf,Person
l162910,couscoussier,Nm,Artifact
l162917,cousette,Nf,Person
l162921,cousin,Nm,Animal;Person
l162932,cousinet,Nm,Person
l162962,coussin,Nm,Artifact
l163003,coutainvillais,Nm,Person
l163004,coutainvillaise,Nf,Person
l163020,couteau,Nm,Animal;Artifact
l163026,coutelas,Nm,Artifact
l163033,coutelier,Nm,Person
l163068,coutil,Nm,Artifact
l163072,coutiller,Nm,Person
l163102,coutume,Nf,Act;Cognition
l163107,couture,Nf,Act;Artifact
l163116,couturier,Nm,Person
l163136,couvent,Nm,Institution
l163146,couverte,Nf,Artifact
l163151,couverture,Nf,Act;Artifact;Cognition;PartxArtifact;Object;Possession
l163152,couverturier,Nm,Person
l163155,couveuse,Nf,Animal;Artifact
l163161,couvillais,Nm,Person
l163162,couvillaise,Nf,Person
l163196,couvreur,Nm,Person
l163296,cowansvillois,Nm,Person
l163297,cowansvilloise,Nf,Person
l163308,coxalgie,Nf,State
l163426,coût,Nm,Possession
l163499,crachouillot-thérapeute,Nm,Person
l163551,crainte,Nf,Feeling
l163559,crainvillois,Nm,Person
l163560,crainvilloise,Nf,Person
l163623,crampe,Nf,Event+State
l163630,crampon,Nm,Artifact
l163670,craniologie,Nf,Act;Cognition
l163673,craniologue,Nm,Person
l163677,craniomètre,Nm,Artifact
l163678,craniométrie,Nf,Act
l163731,crapaud,Nm,Animal;Artifact;Person
l163780,craps,Nm,Act
l163783,crapule,Nf,Person
l163797,craque,Nf,Act+Cognition;Object
l163835,crash,Nm,Event
l163860,crasse,Nf,Act;Attribute;Substance
l163904,crasvillais,Nm,Person
l163905,crasvillaise,Nf,Person
l163914,craton,Nm,Object
l163954,cravatier,Nm,Person
l163981,crayon,Nm,Artifact
l164101,cressiculture,Nf,Act
l164106,cresson,Nm,Food;Plant
l164108,cressonnaie,Nf,GroupxPlant
l164109,cressonneraie,Nf,GroupxPlant
l164148,cretonnier,Nm,Person
l164153,crettevillais,Nm,Person
l164154,crettevillaise,Nf,Person
l164164,creusement,Nm,Act;Artifact;Object
l164202,crevard,Nm,Person
l164215,crevetticulture,Nf,Act
l164226,crevure,Nf,Artifact;Person
l164254,criaillerie,Nf,Act+Cognition
l164270,crible,Nm,Act;Artifact
l164276,criblier,Nm,Person
l164310,cricquevillais,Nm,Person
l164311,cricquevillaise,Nf,Person
l164313,cricri,Nm,Animal;Artifact;Phenomenon
l164337,crime,Nm,Act;GroupxPerson;GroupxAct
l164348,criminalité,Nf,GroupxAct;State
l164351,criminel,Nm,Person
l164354,criminologie,Nf,Act;Cognition
l164360,criminologue,Nf,Person
l164366,crin,Nm,Body;Substance
l164370,crincrin,Nm,Artifact;Person
l164376,crinier,Nm,Person
l164381,crinière,Nf,Body;Person
l164429,criquevillois,Nm,Person
l164430,criquevilloise,Nf,Person
l164438,crise,Nf,Event+State
l164513,cristallochimie,Nf,Act;Cognition
l164515,cristallographe,Nf,Person
l164517,cristallographie,Nf,Act;Cognition
l164572,critique,Nf,Act+Cognition;GroupxPerson;Person
l164585,critère,Nm,Cognition
l164587,critériologie,Nf,Act;Cognition
l164591,criée,Nf,Act;Artifact
l164608,croate,Nm,Communication;Person
l164619,croc,Nm,Artifact;Body
l164620,croc-en-jambe,Nm,Act;Act+Cognition;Event
l164633,crochet,Nm,Act;Artifact
l164717,croisette,Nf,Artifact;Plant
l164755,croissance,Nf,Event
l164760,croissanvillais,Nm,Person
l164761,croissanvillaise,Nf,Person
l164780,croisée,Nf,Artifact;Object
l164869,crooner,Nm,Person
l164898,croque-mort,Nf,Person
l164908,croquemitaine,Nm,Person
l164998,crosvillais,Nm,Person
l164999,crosvillaise,Nf,Person
l165022,croton,Nm,Plant
l165033,crotte,Nf,Food;Substance
l165066,croulant,Nm,Person
l165079,croup,Nm,State
l165091,croupier,Nm,Person
l165163,croyance,Nf,Cognition
l165200,croûte,Nf,Artifact;Food;Object
l165206,croûton,Nm,Food;Person
l165274,crucifix,Nm,Artifact
l165321,crue,Nf,Event+Phenomenon
l165355,cruor,Nm,Substance
l165439,cryoclastie,Nf,Event
l165447,cryoglobulinémie,Nf,State
l165450,cryogène,Nm,Substance
l165451,cryogénie,Nf,Act+State;Cognition
l165461,cryolithe,Nf,Substance
l165471,cryophobie,Nf,State
l165477,cryoscopie,Nf,Act
l165480,cryostat,Nm,Artifact
l165483,cryothérapie,Nf,Act
l165491,cryptanalyse,Nf,Act
l165503,crypte,Nf,Artifact
l165538,cryptogame,Nm,Plant
l165540,cryptogamie,Nf,Attribute
l165545,cryptographe,Nf,Person
l165547,cryptographie,Nf,Act
l165553,cryptologie,Nf,Act;Cognition
l165555,cryptologue,Nf,Person
l165602,crâne,Nm,Body
l165616,crèche,Nf,Artifact;Institution
l165626,crève,Nf,Event+State
l165648,créancier,Nm,Person
l165668,créatinine,Nf,Substance
l165685,créature,Nf,Animal;Person
l165716,crédencier,Nm,Person
l165718,crédibilité,Nf,Attribute
l165725,crédit,Nm,Act+Possession;Attribute;Cognition
l165786,crémier,Nm,Person
l165890,crépinier,Nm,Person
l165943,crésyl,Nm,Substance
l165951,crétacé,Nm,Time
l166014,crêpe,Nf,Food;Substance
l166026,crêpier,Nm,Artifact;Person
l166032,crête,Nf,Artifact;Body;Object
l166077,cubage,Nm,Act;Attribute;Quantity
l166090,cube,Nm,Artifact;Quantity
l166107,cubisme,Nm,Cognition
l166130,cubitus,Nm,Body
l166172,cubèbe,Nm,Plant
l166345,cuiller,Nf,Act;Artifact;Quantity
l166375,cuirasse,Nf,Artifact
l166382,cuirassé,Nm,Artifact
l166383,cuiratier,Nm,Person
l166420,cuisinier,Nm,Person
l166428,cuisse,Nf,Body;Food
l166449,cuistot,Nm,Person
l166454,cuistrerie,Nf,Act+Cognition
l166460,cuite,Nf,Act
l166466,cuivre,Nm,Artifact;Substance
l166485,cul,Nm,Body;PartxArtifact
l166487,cul-blanc,Nm,Animal;Person
l166494,cul-de-basse-fosse,Nm,Artifact
l166498,cul-de-jatte,Nf,Person
l166594,culotte,Nf,Artifact
l166598,culottier,Nm,Person
l166610,culpabilité,Nf,Feeling;State
l166611,culte,Nm,Act;Cognition
l166658,culture,Nf,Act;Attribute;Cognition
l166712,cumulophobie,Nf,State
l166737,cuniculiculture,Nf,Act
l166740,cuniculture,Nf,Act
l166783,cupressaie,Nf,GroupxPlant
l166842,curandier,Nm,Person
l166847,curare,Nm,Substance
l166855,curateur,Nm,Artifact;Person
l166868,curaçao,Nm,Attribute;Food
l166891,cure,Nf,Act
l166892,cure-dent,Nm,Artifact
l166923,cureton,Nm,Person
l166953,curie,Nf,GroupxPerson
l166970,curiste,Nm,Person
l167103,curé,Nm,Person
l167176,custode,Nm,Person
l167190,cusuraphobie,Nf,State
l167221,cutter,Nm,Artifact
l167232,cuve,Nf,Artifact
l167233,cuveau,Nm,Artifact
l167244,cuvervillais,Nm,Person
l167245,cuvervillaise,Nf,Person
l167247,cuvervillois,Nm,Person
l167248,cuvervilloise,Nf,Person
l167258,cuvillois,Nm,Person
l167259,cuvilloise,Nf,Person
l167267,cuvée,Nf,Food;Quantity
l167326,cyan,Nm,Attribute
l167381,cyanose,Nf,State
l167393,cyanure,Nm,Substance
l167518,cycle,Nm,Act;Artifact;Event;Time
l167528,cyclisme,Nm,Act
l167530,cycliste,Nf,Artifact
l167531,cycliste,Nm,Person
l167533,cyclo,Nm,Artifact
l167567,cyclone,Nm,Event+Phenomenon
l167578,cyclope,Nm,Person
l167580,cyclopentanophénanthrène,Nm,Substance
