lid,graphie,cat,Annotations ontologiques
l3667,Arnouvillois,Nm,Person
l3668,Arnouvilloise,Nf,Person
l3695,Arpheuilles-Saint-Priest,Npx,Institution
l3730,Arraincourt,Npx,Institution
l3732,Arrancourtois,Nm,Person
l3733,Arrancourtoise,Nf,Person
l3741,Arreau,Npx,Institution
l3774,Arromanches-les-Bains,Npx,Institution
l3776,Arronville,Npx,Institution
l3777,Arronvillois,Nm,Person
l3778,Arronvilloise,Nf,Person
l3802,Ars-les-Favets,Npx,Institution
l3981,Arville,Npx,Institution
l3982,Arvillers,Npx,Institution
l3983,Arvillois,Nm,Person
l3984,Arvilloise,Nf,Person
l3990,Aryenne,Nf,Person
l4006,Arzillières-Neuville,Npx,Institution
l4013,Arzvillerois,Nm,Person
l4014,Arzvilleroise,Nf,Person
l4045,Ascendant,Nm,Attribute;Person
l4085,Asie,Npx,Object
l4177,Assainvillers,Npx,Institution
l4198,Assevillers,Npx,Institution
l4253,Astiquette,Npx,Artifact
l4297,Athienvillais,Nm,Person
l4298,Athienvillaise,Nf,Person
l4299,Athienville,Npx,Institution
l4301,Athies-sous-Laon,Npx,Institution
l4341,Attainville,Npx,Institution
l4342,Attainvillois,Nm,Person
l4343,Attainvilloise,Nf,Person
l4347,Attancourtois,Nm,Person
l4348,Attancourtoise,Nf,Person
l4363,Attignéville,Npx,Institution
l4364,Attignévillois,Nm,Person
l4365,Attignévilloise,Nf,Person
l4416,Aube,Npf,Institution;Object
l4424,Aubenas-les-Alpes,Npx,Institution
l4440,Auberchicourtois,Nm,Person
l4441,Auberchicourtoise,Nf,Person
l4443,Aubergenville,Npx,Institution
l4444,Aubergenvillois,Nm,Person
l4445,Aubergenvilloise,Nf,Person
l4464,Aubervillais,Nm,Person
l4465,Aubervillaise,Nf,Person
l4466,Auberville,Npx,Institution
l4478,Aubeville,Npx,Institution
l4504,Aubigny-les-Pothées,Npx,Institution
l4540,Aubrevillois,Nm,Person
l4541,Aubrevilloise,Nf,Person
l4559,Aubréville,Npx,Institution
l4571,Aubvillers,Npx,Institution
l4584,Aucamville,Npx,Institution
l4585,Aucamvillois,Nm,Person
l4586,Aucamvilloise,Nf,Person
l4600,Auchonvillers,Npx,Institution
l4603,Auchy-les-Mines,Npx,Institution
l4623,Audeloncourtois,Nm,Person
l4624,Audeloncourtoise,Nf,Person
l4638,Audervillais,Nm,Person
l4639,Audervillaise,Nf,Person
l4640,Auderville,Npx,Institution
l4646,Audeville,Npx,Institution
l4647,Audevillois,Nm,Person
l4648,Audevilloise,Nf,Person
l4655,Audignicourtois,Nm,Person
l4656,Audignicourtoise,Nf,Person
l4663,Audincourtois,Nm,Person
l4664,Audincourtoise,Nf,Person
l4715,Aufferville,Npx,Institution
l4716,Auffervillois,Nm,Person
l4717,Auffervilloise,Nf,Person
l4719,Auffrevillois,Nm,Person
l4720,Auffrevilloise,Nf,Person
l4738,Augervillois,Nm,Person
l4739,Augervilloise,Nf,Person
l4741,Augicourtois,Nm,Person
l4742,Augicourtoise,Nf,Person
l4815,Aulnay-sous-Bois,Npx,Institution
l4823,Aulnois-sous-Laon,Npx,Institution
l4844,Aulus-les-Bains,Npx,Institution
l4865,Aumevillais,Nm,Person
l4866,Aumevillaise,Nf,Person
l4897,Aunay-les-Bois,Npx,Institution
l4898,Aunay-sous-Auneau,Npx,Institution
l4899,Aunay-sous-Crécy,Npx,Institution
l4920,Auquainvillais,Nm,Person
l4921,Auquainvillaise,Nf,Person
l4922,Auquainville,Npx,Institution
l4954,Aureville,Npx,Institution
l4955,Aurevillois,Nm,Person
l4956,Aurevilloise,Nf,Person
l5086,Autainville,Npx,Institution
l5131,Authieux-Ratiéville,Npx,Institution
l5204,Autrecourtois,Nm,Person
l5205,Autrecourtoise,Nf,Person
l5207,Autremencourtois,Nm,Person
l5208,Autremencourtoise,Nf,Person
l5213,Autreville,Npx,Institution
l5216,Autrevillois,Nm,Person
l5217,Autrevilloise,Nf,Person
l5267,Auvers-sous-Montfaucon,Npx,Institution
l5283,Auvillois,Nm,Person
l5284,Auvilloise,Nf,Person
l5297,Auxi-le-Château,Npx,Institution
l5338,Auzevillois,Nm,Person
l5339,Auzevilloise,Nf,Person
l5352,Auzouvillais,Nm,Person
l5353,Auzouvillaise,Nf,Person
l5363,Availles-Limouzine,Npx,Institution
l5364,Availles-en-Châtellerault,Npx,Institution
l5365,Availles-sur-Seiche,Npx,Institution
l5387,Avant,Nm,PartxArtifact;Person
l5463,Avernes-sous-Exmes,Npx,Institution
l5480,Avesnes-les-Aubert,Npx,Institution
l5517,Avillerois,Nm,Person
l5518,Avilleroise,Nf,Person
l5519,Avillers,Npx,Institution
l5533,Aviron,Npx,Artifact
l5558,Avon-les-Roches,Npx,Institution
l5566,Avrainville,Npx,Institution
l5567,Avrainvillois,Nm,Person
l5568,Avrainvilloise,Nf,Person
l5575,Avranville,Npx,Institution
l5576,Avranvillois,Nm,Person
l5577,Avranvilloise,Nf,Person
l5582,Avricourtois,Nm,Person
l5583,Avricourtoise,Nf,Person
l5586,Avril,Npx,Time
l5595,Avrillé-les-Ponceaux,Npx,Institution
l5626,Ax-les-Thermes,Npx,Institution
l5667,Ayguemorte-les-Graves,Npx,Institution
l5676,Aymaville,Npx,Institution
l5745,Azevillais,Nm,Person
l5746,Azevillaise,Nf,Person
l5747,Azeville,Npx,Institution
l5757,Azincourtois,Nm,Person
l5758,Azincourtoise,Nf,Person
l5794,B,Nm,Communication
l5802,BAL,Nm,Act
l5876,Baal,Npx,Person
l5903,Bacchus,Npx,Food;Person
l5917,Bachivillers,Npx,Institution
l5948,Bacquevillais,Nm,Person
l5949,Bacquevillaise,Nf,Person
l5950,Bacqueville,Npx,Institution
l5981,Badonvilloise,Nf,Person
l6037,Bagnoles-de-l'Orne,Npx,Institution
l6045,Bagnols-les-Bains,Npx,Institution
l6053,Bagotville,Npx,Institution
l6054,Bagotvillois,Nm,Person
l6110,Baieville,Npx,Institution
l6111,Baievillien,Nm,Person
l6112,Baievillois,Nm,Person
l6118,Baigneux-les-Juifs,Npx,Institution
l6144,Bailleau-Armenonville,Npx,Institution
l6148,Bailleau-sous-Gallardon,Npx,Institution
l6154,Bailleul-Neuville,Npx,Institution
l6189,Baillonville,Npx,Institution
l6190,Baillonvillois,Nm,Person
l6191,Baillonvilloise,Nf,Person
l6210,Bains-les-Bains,Npx,Institution
l6217,Bainvillois,Nm,Person
l6218,Bainvilloise,Nf,Person
l6258,Baladin,Nm,Person
l6276,Balance,Nf,Act;Artifact;Person
l6291,Balaruc-les-Bains,Npx,Institution
l6369,Balkan,Npx,Object
l6374,Ballainvillois,Nm,Person
l6375,Ballainvilloise,Nf,Person
l6383,Ballancourtois,Nm,Person
l6384,Ballancourtoise,Nf,Person
l6421,Balléville,Npx,Institution
l6453,Baloutchistan,Npx,Institution
l6464,Balte,Nf,Person
l6466,Balte,Npx,Person
l6475,Balâtre,Npx,Institution
l6506,Bancourtois,Nm,Person
l6507,Bancourtoise,Nf,Person
l6565,Bannevillais,Nm,Person
l6566,Bannevillaise,Nf,Person
l6576,Bannoncourtois,Nm,Person
l6577,Bannoncourtoise,Nf,Person
l6600,Bantheville,Npx,Institution
l6613,Banvillais,Nm,Person
l6614,Banvillaise,Nf,Person
l6618,Banville,Npx,Institution
l6656,Baraqueville,Npx,Institution
l6657,Baraquevillois,Nm,Person
l6658,Baraquevilloise,Nf,Person
l6679,Barbara,Npf,Person
l6712,Barbevillais,Nm,Person
l6713,Barbevillaise,Nf,Person
l6714,Barbeville,Npx,Institution
l6734,Barbonville,Npx,Institution
l6735,Barbonvillois,Nm,Person
l6736,Barbonvilloise,Nf,Person
l6781,Bard-les-Epoisses,Npx,Institution
l6798,Bardouvillais,Nm,Person
l6799,Bardouvillaise,Nf,Person
l6800,Bardouville,Npx,Institution
l6856,Barjouville,Npx,Institution
l6857,Barjouvillois,Nm,Person
l6858,Barjouvilloise,Nf,Person
l6877,Barmainville,Npx,Institution
l6878,Barmainvillois,Nm,Person
l6879,Barmainvilloise,Nf,Person
l6894,Barnevillais,Nm,Person
l6895,Barnevillaise,Nf,Person
l6921,Baronville,Npx,Institution
l6928,Baroville,Npx,Institution
l6929,Barovillois,Nm,Person
l6930,Barovilloise,Nf,Person
l6971,Barriac-les-Bosquets,Npx,Institution
l7043,Barvillais,Nm,Person
l7044,Barvillaise,Nf,Person
l7045,Barville,Npx,Institution
l7047,Barvillois,Nm,Person
l7048,Barvilloise,Nf,Person
l7118,Baslieux-sous-Châtillon,Npx,Institution
l7125,Basque,Nf,Person
l7148,Basse-Ville,Npx,Institution
l7158,Bassenevillais,Nm,Person
l7159,Bassenevillaise,Nf,Person
l7160,Basseneville,Npx,Institution
l7200,Bassoles-Aulers,Npx,Institution
l7251,Basville,Npx,Institution
l7299,Battenans-les-Mines,Npx,Institution
l7350,Baudrecourtois,Nm,Person
l7351,Baudrecourtoise,Nf,Person
l7356,Baudreville,Npx,Institution
l7357,Baudrevillois,Nm,Person
l7358,Baudrevilloise,Nf,Person
l7400,Baume-les-Dames,Npx,Institution
l7401,Baume-les-Messieurs,Npx,Institution
l7450,Bavillois,Nm,Person
l7451,Bavilloise,Nf,Person
l7456,Bavincourtois,Nm,Person
l7457,Bavincourtoise,Nf,Person
l7474,Bayencourtois,Nm,Person
l7475,Bayencourtoise,Nf,Person
l7505,Bayonville,Npx,Institution
l7506,Bayonvillois,Nm,Person
l7507,Bayonvilloise,Nf,Person
l7518,Bazainville,Npx,Institution
l7519,Bazainvillois,Nm,Person
l7520,Bazainvilloise,Nf,Person
l7522,Bazancourtois,Nm,Person
l7523,Bazancourtoise,Nf,Person
l7536,Bazeilles-sur-Othain,Npx,Institution
l7548,Bazenvillais,Nm,Person
l7549,Bazenvillaise,Nf,Person
l7550,Bazenville,Npx,Institution
l7558,Bazicourtois,Nm,Person
l7559,Bazicourtoise,Nf,Person
l7581,Bazoches-les-Hautes,Npx,Institution
l7604,Bazoilles-et-Ménil,Npx,Institution
l7680,Beauceville,Npx,Institution
l7681,Beaucevillois,Nm,Person
l7706,Beaucourt,Npx,Institution
l7709,Beaucourtois,Nm,Person
l7710,Beaucourtoise,Nf,Person
l7724,Beaudricourtois,Nm,Person
l7725,Beaudricourtoise,Nf,Person
l7780,Beaulencourtois,Nm,Person
l7781,Beaulencourtoise,Nf,Person
l7784,Beaulieu-les-Fontaines,Npx,Institution
l7786,Beaulieu-sous-Parthenay,Npx,Institution
l7787,Beaulieu-sous-la-Roche,Npx,Institution
l7845,Beaumont-les-Autels,Npx,Institution
l7846,Beaumont-les-Nonains,Npx,Institution
l7902,Beaurainville,Npx,Institution
l7903,Beaurainvillois,Nm,Person
l7904,Beaurainvilloise,Nf,Person
l7958,Beauteville,Npx,Institution
l7959,Beautevillois,Nm,Person
l7960,Beautevilloise,Nf,Person
l8005,Beauville,Npx,Institution
l8007,Beauvillois,Nm,Person
l8008,Beauvilloise,Nf,Person
l8157,Belcourtois,Nm,Person
l8176,Belfortain,Nm,Person
l8203,Belhomert-Guéhouville,Npx,Institution
l8228,Bellancourtois,Nm,Person
l8229,Bellancourtoise,Nf,Person
l8307,Bellengrevillais,Nm,Person
l8308,Bellengrevillaise,Nf,Person
l8309,Bellengreville,Npx,Institution
l8313,Bellenot-sous-Pouilly,Npx,Institution
l8337,Bellevaux-Ligneuville,Npx,Institution
l8338,Bellevillais,Nm,Person
l8339,Bellevillaise,Nf,Person
l8340,Belleville,Npx,Institution
l8347,Bellevillois,Nm,Person
l8348,Bellevilloise,Nf,Person
l8358,Bellicourtois,Nm,Person
l8359,Bellicourtoise,Nf,Person
l8563,Bengali,Nf,Person
l8573,Bennecourtois,Nm,Person
