rid,lid_1,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r18712,l244267,lézarder,l244263,lézarde,V,Nf,conv,X,NA,X,simple,des2as
r18835,l245635,maillocher,l245634,mailloche,V,Nf,conv,X,NA,X,simple,des2as
r19013,l247763,manucurer,l247761,manucure,V,Nf,conv,X,NA,X,simple,des2as
r19017,l247774,manufacturer,l247773,manufacture,V,Nf,conv,X,NA,X,simple,des2as
r19022,l247799,manutentionner,l247794,manutention,V,Nf,conv,X,NA,X,simple,des2as
r19108,l248841,marier,l248758,mari,V,Nf,conv,X,conv,X,simple,NA
r19351,l251620,maîtriser,l251619,maîtrise,V,Nf,conv,X,NA,X,simple,des2as
r19378,l252248,menotter,l252247,menotte,V,Nf,conv,X,NA,X,simple,des2as
r19396,l252329,mentionner,l252328,mention,V,Nf,conv,X,NA,X,simple,des2as
r19497,l253787,microcopier,l253786,microcopie,V,Nf,conv,X,NA,X,simple,des2as
r19517,l253938,microphotographier,l253937,microphotographie,V,Nf,conv,X,NA,X,simple,des2as
r19535,l254174,mignarder,l254175,mignardise,V,Nf,conv,X,suf,Xise,simple,NA
r19616,l254870,minimer,l254881,minimisation,V,Nf,conv,X,suf,Xion,complexe,NA
r19687,l255465,missionner,l255456,mission,V,Nf,conv,X,NA,X,simple,des2as
r19693,l255586,mithridater,l255588,mithridatisation,V,Nf,conv,X,suf,Xion,complexe,NA
r19716,l255717,mixtionner,l255716,mixtion,V,Nf,conv,X,NA,X,simple,des2as
r19717,l255723,mixturer,l255722,mixture,V,Nf,conv,X,NA,X,simple,des2as
r19864,l257449,monographier,l257447,monographie,V,Nf,conv,X,NA,X,simple,des2as
r19978,l260363,morphiner,l260360,morphine,V,Nf,conv,X,NA,X,simple,des2as
r20028,l260815,motionner,l260811,motion,V,Nf,conv,X,NA,X,simple,des2as
r20093,l261259,moulurer,l261258,moulure,V,Nf,conv,X,NA,X,simple,des2as
r20149,l262192,multigraphier,l262191,multigraphie,V,Nf,conv,X,NA,X,simple,des2as
r20167,l262428,munitionner,l262425,munition,V,Nf,conv,X,NA,X,simple,des2as
r20190,l262673,musardiser,l262672,musardise,V,Nf,conv,X,NA,X,simple,des2as
r20220,l262810,musiquer,l262768,musicalisation,V,Nf,conv,X,suf,Xion,complexe,NA
r20298,l263489,mâchurer,l263488,mâchure,V,Nf,conv,X,NA,X,simple,des2as
r20320,l263678,méconduire,l263679,méconduite,V,Nf,conv,X,conv,X,simple,NA
r20454,l265037,mésaventurer,l265036,mésaventure,V,Nf,conv,X,NA,X,simple,des2as
r20491,l265362,métamorphoser,l265361,métamorphose,V,Nf,conv,X,NA,X,simple,des2as
r20502,l265437,métastaser,l265436,métastase,V,Nf,conv,X,NA,X,simple,des2as
r20536,l265746,mévendre,l265751,mévente,V,Nf,conv,X,conv,X,simple,NA
r20596,l266745,nasarder,l266744,nasarde,V,Nf,conv,X,NA,X,simple,des2as
r20857,l269875,normer,l269873,norme,V,Nf,conv,X,conv,X,simple,NA
r20877,l270038,notarier,l270040,notarisation,V,Nf,conv,X,suf,Xion,complexe,NA
r20958,l270622,nuancer,l270620,nuance,V,Nf,conv,X,NA,X,simple,des2as
r21003,l271103,néantir,l271105,néantisation,V,Nf,conv,X,suf,Xion,complexe,NA
r21019,l271207,nécroser,l271206,nécrose,V,Nf,conv,X,NA,X,simple,des2as
r21150,l272612,occasionner,l272601,occasion,V,Nf,conv,X,NA,X,simple,des2as
r21213,l273117,oeillader,l273116,oeillade,V,Nf,conv,X,NA,X,simple,des2as
r21432,l275182,ordonnancer,l275180,ordonnance,V,Nf,conv,X,NA,X,simple,des2as
r21523,l275966,orthographier,l275962,orthographe,V,Nf,conv,X,NA,X,simple,des2as
r21609,l276748,ouatiner,l276747,ouatine,V,Nf,conv,X,NA,X,simple,des2as
r21665,l277352,ovationner,l277351,ovation,V,Nf,conv,X,NA,X,simple,des2as
r21691,l277677,ozoner,l277682,ozonisation,V,Nf,conv,X,suf,Xion,complexe,NA
r21752,l278130,pailleter,l278136,paillette,V,Nf,conv,X,NA,X,simple,des2as
r21787,l278435,paletter,l278434,palette,V,Nf,conv,X,NA,X,simple,des2as
r21801,l278502,palissader,l278500,palissade,V,Nf,conv,X,NA,X,simple,des2as
r21929,l279676,papelarder,l279677,papelardise,V,Nf,conv,X,suf,Xise,simple,NA
r21931,l279686,paperasser,l279685,paperasse,V,Nf,conv,X,NA,X,simple,des2as
r21958,l279749,papilloter,l279747,papillote,V,Nf,conv,X,NA,X,simple,des2as
r21994,l279966,parader,l279964,parade,V,Nf,conv,X,NA,X,simple,des2as
r22031,l280223,paraphraser,l280222,paraphrase,V,Nf,conv,X,NA,X,simple,des2as
r22200,l281199,partouzer,l281198,partouze,V,Nf,conv,X,NA,X,simple,des2as
r22289,l281798,patenter,l281797,patente,V,Nf,conv,X,NA,X,simple,des2as
r22418,l282643,peinturer,l282642,peinture,V,Nf,conv,X,NA,X,simple,des2as
r22456,l282775,pelliculer,l282774,pellicule,V,Nf,conv,X,NA,X,simple,des2as
r22499,l283068,pensionner,l283060,pension,V,Nf,conv,X,NA,X,simple,des2as
r22550,l283448,perdre,l284036,perte,V,Nf,conv,X,conv,X,simple,NA
r22557,l283491,perfectionner,l283489,perfection,V,Nf,conv,X,NA,X,simple,des2as
r22586,l283621,permanenter,l283620,permanente,V,Nf,conv,X,NA,X,simple,des2as
r22600,l283760,perquisitionner,l283759,perquisition,V,Nf,conv,X,NA,X,simple,des2as
r22739,l285085,philosophier,l285084,philosophie,V,Nf,conv,X,NA,X,simple,des2as
r22772,l285323,phosphater,l285329,phosphatisation,V,Nf,conv,X,suf,Xion,complexe,NA
r22795,l285461,photocopier,l285460,photocopie,V,Nf,conv,X,NA,X,simple,des2as
r22803,l285493,photographier,l285492,photographie,V,Nf,conv,X,NA,X,simple,des2as
r22947,l286400,picouzer,l286399,picouze,V,Nf,conv,X,NA,X,simple,des2as
r23068,l287268,piocher,l287266,pioche,V,Nf,conv,X,NA,X,simple,des2as
r23098,l287379,pipetter,l287378,pipette,V,Nf,conv,X,NA,X,simple,des2as
r23270,l288300,plaindre,l288317,plainte,V,Nf,conv,X,conv,X,simple,NA
r23508,l290300,pocharder,l290302,pochardise,V,Nf,conv,X,suf,Xise,simple,NA
r23536,l290583,poindre,l290598,pointe,V,Nf,conv,X,conv,X,simple,NA
r23656,l291333,polycopier,l291332,polycopie,V,Nf,conv,X,NA,X,simple,des2as
r23704,l291792,pommader,l291790,pommade,V,Nf,conv,X,NA,X,simple,des2as
r23743,l292073,ponctionner,l292071,ponction,V,Nf,conv,X,NA,X,simple,des2as
r23833,l293262,portraiturer,l293261,portraiture,V,Nf,conv,X,NA,X,simple,des2as
r23853,l293328,positionner,l293324,position,V,Nf,conv,X,NA,X,simple,des2as
r23879,l293531,postfacer,l293530,postface,V,Nf,conv,X,NA,X,simple,des2as
r24101,l295217,prier,l295562,prière,V,Nf,conv,X,conv,X,simple,NA
r24180,l295685,processionner,l295678,procession,V,Nf,conv,X,NA,X,simple,des2as
r24342,l296153,promotionner,l296148,promotion,V,Nf,conv,X,NA,X,simple,des2as
r24391,l296333,proportionner,l296322,proportion,V,Nf,conv,X,NA,X,simple,des2as
r24517,l297016,provisionner,l297013,provision,V,Nf,conv,X,NA,X,simple,des2as
r24599,l297660,précontraindre,l297662,précontrainte,V,Nf,conv,X,conv,X,simple,NA
r24628,l297771,prédilectionner,l297770,prédilection,V,Nf,conv,X,NA,X,simple,des2as
r24647,l297846,préfacer,l297845,préface,V,Nf,conv,X,NA,X,simple,des2as
r24771,l298464,présélectionner,l298463,présélection,V,Nf,conv,X,NA,X,simple,des2as
r24838,l298967,psychanalyser,l298966,psychanalyse,V,Nf,conv,X,NA,X,simple,des2as
r25013,l300371,pyrolyser,l300370,pyrolyse,V,Nf,conv,X,NA,X,simple,des2as
r25041,l300576,pâturer,l300574,pâture,V,Nf,conv,X,NA,X,simple,des2as
r25152,l301467,périphraser,l301466,périphrase,V,Nf,conv,X,NA,X,simple,des2as
r25172,l301753,pétarader,l301752,pétarade,V,Nf,conv,X,NA,X,simple,des2as
r25311,l302891,querir,l303696,quête,V,Nf,conv,X,conv,X,simple,NA
r25318,l302977,questionner,l302969,question,V,Nf,conv,X,NA,X,simple,des2as
r25347,l303389,quintessencier,l303386,quintessence,V,Nf,conv,X,NA,X,simple,des2as
r25359,l303519,quittancer,l303517,quittance,V,Nf,conv,X,NA,X,simple,des2as
r25558,l304349,radiographier,l304348,radiographie,V,Nf,conv,X,NA,X,simple,des2as
r25583,l304445,radiotélégraphier,l304444,radiotélégraphie,V,Nf,conv,X,NA,X,simple,des2as
r25944,l306001,raturer,l306000,rature,V,Nf,conv,X,NA,X,simple,des2as
r26103,l307477,reconduire,l307479,reconduite,V,Nf,conv,X,conv,X,simple,NA
r26143,l307827,recruter,l307824,recrue,V,Nf,conv,X,NA,X,simple,des2as
r26193,l308018,redescendre,l308019,redescente,V,Nf,conv,X,conv,X,simple,NA
r26198,l308098,redire,l308151,redite,V,Nf,conv,X,conv,X,simple,NA
r26243,l308875,refendre,l308877,refente,V,Nf,conv,X,conv,X,simple,NA
r26255,l309031,refondre,l309034,refonte,V,Nf,conv,X,conv,X,simple,NA
r26270,l309168,refuir,l309169,refuite,V,Nf,conv,X,conv,X,simple,NA
r26357,l309901,relever,l310051,relève,V,Nf,conv,X,conv,X,simple,NA
r26417,l310411,remiser,l310409,remise,V,Nf,conv,X,NA,X,simple,des2as
r26685,l311832,repriser,l311831,reprise,V,Nf,conv,X,NA,X,simple,des2as
r26699,l311873,reprographier,l311872,reprographie,V,Nf,conv,X,NA,X,simple,des2as
r26875,l313387,retraire,l313390,retraite,V,Nf,conv,X,conv,X,simple,NA
r26886,l313459,retreindre,l313461,retreinte,V,Nf,conv,X,conv,X,simple,NA
r26924,l313710,revendre,l313718,revente,V,Nf,conv,X,conv,X,simple,NA
r27013,l314735,riduler,l314734,ridule,V,Nf,conv,X,NA,X,simple,des2as
r27317,l317658,roulader,l317657,roulade,V,Nf,conv,X,NA,X,simple,des2as
r27338,l317709,roulotter,l317708,roulotte,V,Nf,conv,X,NA,X,simple,des2as
r27371,l317995,routiner,l317994,routine,V,Nf,conv,X,NA,X,simple,des2as
r27376,l318284,ruader,l318283,ruade,V,Nf,conv,X,NA,X,simple,des2as
